Title,Production company,Distributed by,Release date,Running time,Country,Language,Box office,Directed by,Written by,Based on,Produced by,Starring,Music by,Release dates,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Color process,Genre,Created by,Country of origin,No. of seasons,No. of episodes,Production companies,Adaptation by,Layouts by,Original concept by,Original language,Born,Died,Cause of death,Resting place,Alma mater,Occupation,Years active,Board member of,,Children,Awards,Music,Lyrics,Book,Basis,Productions,Original work,Owner,First appearance,Last appearance,Years,Education,Known for,Nationality,Employer,Notable work,Website
Roadside Romeo,,Walt Disney Studios Motion Pictures,,93 minutes,,,$2 million,Jugal Hansraj,Jugal Hansraj,,Aditya Chopra,"['Saif Ali Khan', 'Kareena Kapoor', 'Jaaved Jaaferi', 'Vrajesh Hirjee', 'Sanjai Mishra']",Salim–Sulaiman,"['23 October 2008 (Kuwait)', '24 October 2008 (India and United States)']",,,,Anshul Chobey,Arif Ahmed,"['Hindi', 'English']",,"['India', 'United States']",,,,,,,"['Walt Disney Pictures India', 'Yash Raj Films', 'Disney World Cinema']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinker Bell,,Buena Vista Home Entertainment,"['October 28, 2008']",78 minutes,United States,English,$9.2 million,Bradley Raymond,Jeffrey M. Howard,,Jeannine Roussel,"['Mae Whitman', 'Kristin Chenoweth', 'Raven-Symoné', 'Lucy Liu', 'America Ferrera']",Joel McNeely,,$50 million,,Loreena McKennitt,,Mark W. Rosenbaum,,,,,,,,,,"['Walt Disney Pictures', 'DisneyToon Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolt,,"['Walt Disney Studios', 'Motion Pictures']","['November 21, 2008']",96 minutes,United States,English,$310 million,"['Chris Williams', 'Byron Howard']",,,Clark Spencer,"['John Travolta', 'Susie Essman', 'Mark Walton', 'Miley Cyrus', 'Malcolm McDowell', 'Diedrich Bader', 'Nick Swardson', 'Greg Germann']",John Powell,,$150 million,,,,Tim Mertens,,"['Dan Fogelman', 'Chris Williams']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedtime Stories,,"['Walt Disney Studios', 'Motion Pictures']","['December 25, 2008']",99 minutes,United States,English,$212.9 million,Adam Shankman,,,"['Adam Sandler', 'Andrew Gunn', 'Jack Giarraputo']","['Adam Sandler', 'Keri Russell', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Jonathan Pryce', 'Courteney Cox', 'Lucy Lawless', 'Teresa Palmer']",Rupert Gregson-Williams,,$80 million,Matt Lopez,,Michael Barrett,Tom Costain,,"['Matt Lopez', 'Tim Herlihy']",,,,,,,,"['Walt Disney Pictures', 'Happy Madison Productions', 'Gunn Films', 'Offspring Entertainment', 'Conman & Izzy Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Brothers: The 3D Concert Experience,,"['Walt Disney Studios', 'Motion Pictures']","['February 27, 2009']","['76 minutes', '85 minutes']",United States,English,$23.1 million,Bruce Hendricks,,,"['Alan Sacks', 'Johnny Wright', 'Phil McIntyre']","['Kevin Jonas', 'Joe Jonas', 'Nick Jonas', 'Demi Lovato', 'Taylor Swift']",Jonas Brothers,,,,,"['Mitchell Amundsen', 'Reed Smoot']",Michael Tronick,,,,,,,,,,"['Walt Disney Pictures', 'Jonas Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race to Witch Mountain,,"['Walt Disney Studios', 'Motion Pictures']",,98 minutes,United States,English,$106.4 million,Andy Fickman,,"['Escape to Witch Mountain', 'by', 'Alexander Key']",Andrew Gunn,"['Dwayne Johnson', 'AnnaSophia Robb', 'Carla Gugino', 'Ciarán Hinds', 'Alexander Ludwig', 'Tom Everett Scott', 'Chris Marquette']",Trevor Rabin,"['March 11, 2009 (Egypt)', 'March 13, 2009 (United States)']",$50 million,Matt Lopez,,Greg Gardiner,David Rennie,,"['Matt Lopez', 'Mark Bomback']",,,,,,,,"['Walt Disney Pictures', 'Gunn Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Montana: The Movie,,Walt Disney Studios Motion Pictures,"['April 10, 2009']",97 minutes,United States,English,$155.5 million,Peter Chelsom,Dan Berendsen,"['Hannah Montana', 'by', 'Michael Poryes', 'Rich Correll', ""Barry O'Brien""]","['David Blocker', 'Billy Ray Cyrus', 'Alfred Gough', 'Miles Millar', 'Steven Peterman', 'Michael Poryes']","['Miley Cyrus', 'Emily Osment', 'Jason Earles', 'Melora Hardin', 'Vanessa Williams', 'Billy Ray Cyrus']",John Debney,,$30 million,,,David Hennings,Virginia Katz,,,,,,,,,,"['Walt Disney Pictures', ""It's a Laugh Productions"", 'Millar Gough Ink']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth,,"['France', 'Gaumont', 'United Kingdom', 'Lionsgate', 'Germany', 'Universum Film', '/', 'Walt Disney Studios Motion Pictures', 'United States', 'Walt Disney Studios Motion Pictures']",,[],,English,$109 million,"['Alastair Fothergill', 'Mark Linfield']","['Alastair Fothergill', 'Mark Linfield', 'Leslie Megahey']",,"['Alix Tidmarsh', 'Sophokles Tasioulius']",,"['George Fenton', 'Berliner Philharmoniker']","['10 October 2007 (France)', '16 November 2007 (United Kingdom)', '12 January 2008 (Germany)', '22 April 2009 (United States)']",$47 million,,"['Patrick Stewart', 'Anggun', 'James Earl Jones', 'Constantino Romero', 'Ulrich Tukur', 'Ken Watanabe']",,"['Martin Elsbury', 'Vartan Nazarian']",,,"['France', 'United Kingdom', 'Germany', 'United States']",,,,,,,"['BBC Worldwide', 'Greenlight Media', 'Discovery Channel', 'BBC Natural History Unit']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boys: The Sherman Brothers' Story,,"['Walt Disney Studios', 'Motion Pictures']",,101 minutes,United States,English,"$55,513","['Gregory V. Sherman', 'Jeffrey C. Sherman']",,,"['Gregory V. Sherman', 'Jeffrey C. Sherman', 'Executive:', 'Stuart Cornfeld', 'Ben Stiller']","['Richard M. Sherman', 'Robert B. Sherman']","['Richard M. Sherman', 'Robert B. Sherman']","['April 24, 2009 (San Francisco International Film Festival)', 'May 22, 2009 (United States)']",,,,Richard Numeroff,Rich Evirs,,,,,,,,,,"['Walt Disney Pictures', 'Red Hour Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up,,"['Walt Disney Studios', 'Motion Pictures']",,96 minutes,United States,English,$735.1 million,Pete Docter,,,Jonas Rivera,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson']",Michael Giacchino,"['May 13, 2009 ( Cannes )', 'May 29, 2009 (United States)']",$175 million,"['Pete Docter', 'Bob Peterson', 'Tom McCarthy']",,"['Patrick Lin', 'Jean-Claudie Kalache']",Kevin Nolting,,"['Bob Peterson', 'Pete Docter']",,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexe Lilli: Der Drache und das magische Buch,Walt Disney Pictures,Buena Vista International Germany,,,Germany,German,,Stefan Ruzowitzky,,,,,Ian Honeyman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-Force,,Walt Disney Studios Motion Pictures,"['July 24, 2009']",90 minutes,United States,English,$292.8 million,Hoyt H. Yeatman Jr.,,,Jerry Bruckheimer,"['Sam Rockwell', 'Tracy Morgan', 'Penélope Cruz', 'Jon Favreau', 'Nicolas Cage', 'Steve Buscemi', 'Zach Galifianakis', 'Bill Nighy', 'Will Arnett']",Trevor Rabin,,$150 million,"['Hoyt H. Yeatman Jr.', 'David P.I. James']",,Bojan Bazelli,"['Jason Hellmann', 'Mark Goldblatt']",,"['Cormac Wibberley', 'Marianne Wibberley']",,,,,,,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walt & El Grupo,,Walt Disney Studios Motion Pictures,['2009'],107 minutes,United States,English,,Theodore Thomas,Theodore Thomas,,,,James Stemple,,,,,,,,,,,,,,,,"['Walt Disney Family Foundation Films', 'Theodore Thomas Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinker Bell and the Lost Treasure,,"['Walt Disney Studios', 'Home Entertainment', 'Walt Disney Studios', 'Motion Pictures']",,82 minutes,United States,English,"$8,582,265",Klay Hall,Evan Spiliotopoulos,,Sean Lurie,"['Mae Whitman', 'Jesse McCartney', 'Raven-Symoné', 'Lucy Liu', 'Kristin Chenoweth', 'Angela Bartys', 'Anjelica Huston']",Joel McNeely,"['June 5, 2009 (Japan)', 'October 27, 2009 (United States)', 'February 15, 2010 (Hindi)']",$30—$35 million,,Grey DeLisle,,Jeremy Milton,,,,,,,,,,"['Walt Disney Pictures', 'DisneyToon Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Книга Мастеров,,Walt Disney Studios Motion Pictures International,"['October 29, 2009']",101 minutes,Russia,Russian,$11.3 million,Vadim Sokolovsky,['Anna Starobinets'],Russian fairy tales,['Marina Zhigalov-Ozkan'],,Yuri Poteyenko,,$8 million ( ₽ 350 million),,,Archil Akhvlediani,,,,,,,,,,,['The Walt Disney Company CIS'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Christmas Carol,,Walt Disney Studios Motion Pictures,,96 minutes,United States,English,$325 million,Robert Zemeckis,Robert Zemeckis,"['A Christmas Carol', 'by', 'Charles Dickens']","['Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']","['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Bob Hoskins', 'Robin Wright Penn', 'Cary Elwes']",Alan Silvestri,"['November 3, 2009 ( London )', 'November 6, 2009 (United States)']",$175–200 million,,,Robert Presley,Jeremiah O'Driscoll,,,,,,,,,,"['Walt Disney Pictures', 'ImageMovers Digital']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Dogs,,"['Walt Disney Studios', 'Motion Pictures']","['November 25, 2009']",88 minutes,United States,English,$96.8 million,Walt Becker,"['David Diamond', 'David Weissman']",,"['Andrew Panay', 'Robert L. Levy', 'Peter Abrams']","['John Travolta', 'Robin Williams', 'Kelly Preston', 'Seth Green', 'Ella Bleu Travolta', 'Lori Loughlin', 'Matt Dillon']",John Debney,,$35 million,,,Jeffrey L. Kimball,"['Tom Lewis', 'Ryan Folsey']",,,,,,,,,,"['Walt Disney Pictures', 'Tapestry Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess and the Frog,,"['Walt Disney Studios', 'Motion Pictures']",,97 minutes,United States,English,$271 million,"['John Musker', 'Ron Clements']",,"['The Frog Princess by E. D. Baker', 'The Frog Prince by Brothers Grimm']",Peter Del Vecho,"['Anika Noni Rose', 'Bruno Campos', 'Keith David', 'Michael-Leon Wooley', 'Jim Cummings', 'Jennifer Cody', 'Peter Bartlett', 'Jenifer Lewis', 'Oprah Winfrey', 'Terrence Howard', 'John Goodman']",Randy Newman,"['November 25, 2009 ( Los Angeles and New York City )', 'December 11, 2009 (United States)']",$105 million,"['Ron Clements', 'John Musker', 'Greg Erb', 'Jason Oremland']",,,Jeff Draheim,,"['Ron Clements', 'John Musker', 'Rob Edwards']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice in Wonderland,,Walt Disney Studios Motion Pictures,,108 minutes,United States,English,$1.025 billion,Tim Burton,,"[""Alice's Adventures in Wonderland"", 'and', 'Through the Looking-Glass', 'by', 'Lewis Carroll']","['Richard D. Zanuck', 'Joe Roth', 'Suzanne Todd', 'Jennifer Todd']","['Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Mia Wasikowska', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",Danny Elfman,"['February 25, 2010 ( Odeon Leicester Square )', 'March 5, 2010 (United States)']",$150 –$200 million,,,Dariusz Wolski,Chris Lebenzon,,Linda Woolverton,,,,,,,,"['Walt Disney Pictures', 'Roth Films', 'The Zanuck Company', 'Team Todd']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceans,,Pathé Distribution,,[],France,French,$82.7 million,"['Jacques Perrin', 'Jacques Cluzaud']","['Christophe Cheysson', 'Jacques Cluzaud', 'Laurent Debas', 'Stéphane Durand', 'Laurent Gaudé', 'Jacques Perrin', 'François Sarano']",,"['Jacques Perrin', 'Romain Legrand', 'Nicolas Mauvernay', 'Jake Eberts']",,Bruno Coulais,"['October 17, 2009 ( Tokyo International Film Festival )', 'January 24, 2010 (France)']",$80 million,,"['Jacques Perrin', 'Pierce Brosnan']",David Reichert,"['Catherine Mauchain', 'Vincent Schmidt']",,,,,,,,,,"['Pathé', 'Participant Media', 'Galatée Films', 'France 2 Cinéma', 'France 3 Cinéma', 'Canal+', 'TPS Star', 'Alfred P. Sloan Foundation', 'Census of Marine Life']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince of Persia: The Sands of Time,,"['Walt Disney Studios', 'Motion Pictures']",,116 minutes,United States,English,$336.4 million,Mike Newell,,"['Prince of Persia', 'by Jordan Mechner']",Jerry Bruckheimer,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Toby Kebbell', 'Alfred Molina']",Harry Gregson-Williams,"['May 9, 2010 (London premiere)', 'May 28, 2010 (United States)']",$150–200 million,Jordan Mechner,,John Seale,"['Michael Kahn', 'Martin Walsh', 'Mick Audsley']",,"['Boaz Yakin', 'Doug Miro', 'Carlo Bernard']",,,,,,,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toy Story 3,,"['Walt Disney Studios', 'Motion Pictures']",,103 minutes,United States,English,$1.067 billion,Lee Unkrich,,,Darla K. Anderson,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'Ned Beatty', 'Michael Keaton', 'Jodi Benson', 'John Morris']",Randy Newman,"['June 12, 2010 ( Taormina Film Fest )', 'June 18, 2010 (United States)']",$200 million,"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']",,"['Jeremy Lasky', 'Kim White']",Ken Schretzmann,,Michael Arndt,,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sorcerer's Apprentice,,"['Walt Disney Studios', 'Motion Pictures']",,109 minutes,United States,English,$215.3 million,Jon Turteltaub,,"[""The Sorcerer's Apprentice"", 'by', 'Johann Wolfgang von Goethe']",Jerry Bruckheimer,"['Nicolas Cage', 'Jay Baruchel', 'Alfred Molina', 'Teresa Palmer', 'Monica Bellucci']",Trevor Rabin,"['July 8, 2010 (Fantasia Film Festival)', 'July 14, 2010']",$150 million,"['Matt Lopez', 'Lawrence Konner', 'Mark Rosenthal']",,Bojan Bazelli,William Goldenberg,,"['Doug Miro', 'Carlo Bernard', 'Matt Lopez']",,,,,,,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tales from Earthsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crimson Wing: Mystery of the Flamingos,,Walt Disney Studios Motion Pictures,,74 minutes,,English,,"['Matthew Aeberhard', 'Leander Ward']",Melanie Finn,,"['Matthew Aeberhard', 'Leander Ward', 'Paul Webster']",,The Cinematic Orchestra and Claseria,"['26 October 2008 ( France )', '29 September 2009 ( United Kingdom )']",,,"['Mariella Frostrup', 'UK', '/', 'US', ')', 'Zabou Breitman', 'France', ')']",,,,,"['United Kingdom', 'United States']",,,,,,,"['Disneynature', 'Natural Light Films', 'Kudos Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinker Bell and the Great Fairy Rescue,,"['Walt Disney Studios', 'Home Entertainment', 'Walt Disney Studios', 'Motion Pictures']",,79 minutes,United States,English,"$10,872,752",Bradley Raymond,,,"['Helen Kalafatic', 'Margot Pipkin']","['Mae Whitman', 'Pamela Adlon', 'Lauren Mote', 'Michael Sheen', 'Lucy Liu', 'Raven-Symoné', 'Kristin Chenoweth', 'Angela Bartys']",Joel McNeely,"['August 13, 2010 (United Kingdom)', 'September 21, 2010 (United States)']",$30—$35 million,"['Bradley Raymond', 'Jeffrey M. Howard']",,,,,"['Joe Ansolabehere', 'Paul Germain', 'Bob Hilgenberg', 'Rob Muir']",,,,,,,,"['Walt Disney Pictures', 'DisneyToon Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secretariat,,"['Walt Disney Studios', 'Motion Pictures']",,123 minutes,United States,English,$60.3 million,Randall Wallace,"['Mike Rich', 'Sheldon Turner']",,"['Mark Ciardi', 'Gordon Gray']","['Diane Lane', 'John Malkovich', 'Dylan Walsh', 'James Cromwell', 'Kevin Connolly', 'Scott Glenn']",Nick Glennie-Smith,"['September 30, 2010 ( Hollywood )', 'October 8, 2010 (United States)']",$35 million,,,Dean Semler,John Wright,,,,,,,,,,"['Walt Disney Pictures', 'Mayhem Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do Dooni Chaar,,Walt Disney Studios Motion Pictures,['8 October 2010'],108 minutes,India,Hindi,,Habib Faisal,,,Arindam Chaudhuri,"['Rishi Kapoor', 'Neetu Singh']","['Meet Bros Anjjan', 'Ankit Tiwari']",,,Habib Faisal,,Anshuman Mahaley,Aarti Bajaj,,"['Habib Faisal', 'Rahil Qazi']",,,,,,,,"['Walt Disney Pictures', 'Disney World Cinema', 'Planman Motion Pictures', 'Walt Disney Pictures India']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangled,,Walt Disney Studios Motion Pictures,,100 minutes,United States,English,$592.4 million,"['Nathan Greno', 'Byron Howard']",,"['Rapunzel', 'by the', 'Brothers Grimm']",Roy Conli,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",Alan Menken,"['November 14, 2010 ( El Capitan Theatre )', 'November 24, 2010 (United States)']",$260 million,,,,Tim Mertens,,Dan Fogelman,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tron: Legacy,,Walt Disney Studios Motion Pictures,,125 minutes,United States,English,$400.1 million,Joseph Kosinski,,"['Steven Lisberger', 'Bonnie MacBird']","['Sean Bailey', 'Jeffrey Silver', 'Steven Lisberger']","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'James Frain', 'Beau Garrett', 'Michael Sheen']",Daft Punk,"['November 30, 2010 (Tokyo)', 'December 17, 2010 (United States)']",$170 million,"['Edward Kitsis', 'Adam Horowitz', 'Brian Klugman', 'Lee Sternthal']",,Claudio Miranda,James Haygood,,"['Edward Kitsis', 'Adam Horowitz']",,,,,,,,"['Walt Disney Pictures', 'Sean Bailey Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Warrior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills Chihuahua 2,,"['Walt Disney Studios', 'Home Entertainment']","['February 1, 2011']",84 minutes,United States,English,$29.6 million,Alex Zamm,"['Dannah Feinglass', 'Danielle Schneider']","['Characters', 'by', 'Jeff Bushell']",Brad Krevoy,"['George Lopez', 'Odette Yustman', 'Zachary Gordon', 'Emily Osment', 'Bridgit Mendler', 'Tom Kenny']",Chris Hajian,,,,,Robert Brinkmann,"['Marshall Harvey', 'Heath Ryan']",,,,,,,,,,"['Walt Disney Pictures', 'MPCA Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilly the Witch: The Journey to Mandolan,Walt Disney Pictures,Walt Disney Studios Motion Pictures,['17 February 2011'],90 minutes,Germany,German,,Harald Sicheritz,"['Bettine von Borries', 'Achim von Borries']",,,"['Alina Freund', 'Tanay Chheda']",Ian Honeyman,,,,,Thomas Kienast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars Needs Moms,,"['Walt Disney Studios', 'Motion Pictures']",,88 minutes,United States,English,$39.2 million,Simon Wells,,"['Mars Needs Moms!', 'by', 'Berkeley Breathed']","['Robert Zemeckis', 'Jack Rapke', 'Steve Starkey', 'Steven Boyd']","['Seth Green', 'Dan Fogler', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack']",John Powell,"['March 6, 2011 ( El Capitan Theatre )', 'March 11, 2011 (United States)']",$150 million,,,Robert Presley,Wayne Wahrman,,"['Simon Wells', 'Wendy Wells']",,,,,,,,"['Walt Disney Pictures', 'ImageMovers Digital']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zokkomon,,UTV Motion Pictures,['22 April 2011'],109 minutes,India,Hindi,,Satyajit Bhatkal,,,,"['Darsheel Safary', 'Manjari Fadnis', 'Anupam Kher']",Shankar–Ehsaan–Loy,,,,,Keshav Prakash,Suresh Pai,,"['Satyajit Bhatkal', 'Lancy Fernandes', 'Svati Chakravarty Bhatkal']",,,,,,,,"['Disney World Cinema', 'Walt Disney Pictures India']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Cats,,Walt Disney Studios Motion Pictures,,89 minutes,,,$30.9 million,"['Alastair Fothergill', 'Keith Scholey']",,,"['Alix Tidmarsh', 'Keith Scholey']",,Nicholas Hooper,"['April 22, 2011 (United States)', 'February 1, 2012 (France)', 'April 27, 2012 (United Kingdom)']",$5 million,,"['Samuel L. Jackson', 'Patrick Stewart']",,,"['English', 'French']",,"['United States', 'France', 'United Kingdom']",,,,,,,"['Disneynature', 'Fothergill / Scholey Productions', 'Silverback Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prom,Walt Disney Pictures,"['Walt Disney Studios', 'Motion Pictures']","['April 29, 2011']",104 minutes,United States,English,$10.7 million,Joe Nussbaum,Katie Wech,,"['Ted Griffin', 'Justin Springer']","['Aimee Teegarden', 'Thomas McDonell', 'Cameron Monaghan', 'Yin Chang', 'Nicholas Braun', 'Dean Norris', 'Danielle Campbell', 'Nolan Sotillo', 'Kylie Bunbury', 'Christine Elise', 'Raini Rodriguez']",Deborah Lurie,,$8 million,,,Byron Shah,Jeffrey M. Werner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides,,"['Walt Disney Studios', 'Motion Pictures']",,137 minutes,United States,English,$1.046 billion,Rob Marshall,"['Ted Elliott', 'Terry Rossio']","['On Stranger Tides by Tim Powers', 'Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert', ""Walt Disney 's Pirates of the Caribbean""]",Jerry Bruckheimer,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush']",Hans Zimmer,"['May 7, 2011 ( Disneyland Resort )', 'May 20, 2011 (United States)']","['$410.6 million (gross)', '$378.5 million (net)']",,,Dariusz Wolski,"['David Brenner', 'Wyatt Smith']",,,,,,,,,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cars 2,,"['Walt Disney Studios', 'Motion Pictures']",,106 minutes,United States,English,$559.8 million,John Lasseter,,,Denise Ream,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro', 'Eddie Izzard']",Michael Giacchino,"['June 18, 2011 (Hollywood)', 'June 24, 2011 (United States)']",$200 million,"['John Lasseter', 'Brad Lewis', 'Dan Fogelman']",,"['Jeremy Lasky', 'Sharon Calahan']",Stephen Schaffer,,Ben Queen,,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnie the Pooh,,"['Walt Disney Studios', 'Motion Pictures']",,63 minutes,United States,English,$50.1 million,"['Stephen Anderson', 'Don Hall']",,"['A. A. Milne', 'E. H. Shepard']","['Peter Del Vecho', 'Clark Spencer']","['Jim Cummings', 'Jack Boulter', 'Travis Oates', 'Bud Luckey', 'Tom Kenny', 'Craig Ferguson', 'Kristen Anderson-Lopez', 'Wyatt Dean Hall', 'Huell Howser']",Henry Jackman,"['April 6, 2011 (Belgium)', 'July 15, 2011 (United States)']",$30 million,"['Stephen Anderson', 'Clio Chiang', 'Don Dougherty', 'Don Hall', 'Kendelle Hoyer', 'Brian Kesinger', 'Nicole Mitchell', 'Jeremy Spears']",John Cleese,['Julio Macat'],Lisa Linder Silver,,,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spooky Buddies,Key Pix Productions,"['Walt Disney Studios', 'Home Entertainment']","['September 20, 2011']",88 minutes,United States,English,,Robert Vince,"['Anna McRoberts', 'Robert Vince']","['Characters', 'by Paul Tamasy', 'Aaron Mendelsohn', 'Kevin DiCicco', 'Robert Vince', 'Anna McRoberts']","['Anna McRoberts', 'Robert Vince']","['Harland Williams', 'Sierra McCormick', 'Elisa Donovan', 'Jennifer Elise Cox', 'Tucker Albrizzi', 'Dylan Sprayberry', 'Rance Howard', 'Pat Finn']",Brahm Wenger,,,,,Mike Southon,Kelly Herron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
